#Time,X,Y,Z
1517803864.6581457,0.004,-0.98,0.304
1517803864.6657455,-0.032,-0.952,0.272
1517803864.6727386,-0.012,-0.948,0.264
1517803864.6793554,-0.004,-0.98,0.308
1517803864.6857753,-0.008,-0.988,0.316
1517803864.6926541,-0.032,-0.996,0.336
1517803864.699393,-0.008,-0.952,0.256
1517803864.705409,0.016,-0.964,0.288
1517803864.710881,-0.008,-0.988,0.32
1517803864.7159278,0.004,-0.98,0.308
1517803864.7212439,-0.04,-0.98,0.316
1517803864.7268848,-0.012,-0.948,0.26
1517803864.7319908,-0.028,-0.96,0.292
1517803864.7373016,-0.012,-0.944,0.248
1517803864.7426305,-0.004,-0.968,0.3
1517803864.7477014,0.0,-0.956,0.268
1517803864.7537854,-0.012,-0.984,0.32
1517803864.7607872,-0.028,-0.984,0.324
1517803864.7666602,-0.008,-0.948,0.256
1517803864.7733803,-0.024,-0.96,0.276
1517803864.779823,0.012,-0.972,0.288
1517803864.785651,-0.02,-0.98,0.316
1517803864.791038,0.0,-0.968,0.304
1517803864.797493,-0.024,-0.968,0.284
1517803864.8041327,-0.016,-0.992,0.332
1517803864.8108437,-0.04,-0.972,0.292
1517803864.8174458,-0.012,-0.984,0.32
1517803864.8244126,0.0,-0.98,0.296
1517803864.8310454,-0.028,-0.956,0.264
1517803864.8375604,-0.028,-0.984,0.308
1517803864.8443184,-0.016,-0.964,0.28
1517803864.8508513,-0.008,-0.972,0.304
1517803864.8575222,0.0,-0.976,0.316
1517803864.8643692,-0.032,-0.98,0.292
1517803864.871125,-0.004,-0.98,0.32
1517803864.8776858,-0.012,-0.976,0.288
1517803864.8841298,-0.008,-0.972,0.316
1517803864.8908238,-0.02,-0.988,0.316
1517803864.8974757,-0.016,-0.988,0.32
1517803864.9043815,-0.02,-0.968,0.296
1517803864.9111774,-0.024,-0.98,0.312
1517803864.9175775,-0.004,-0.96,0.284
1517803864.9243524,-0.004,-0.984,0.316
1517803864.9308522,-0.04,-0.976,0.296
1517803864.9375122,0.004,-0.96,0.276
1517803864.944452,-0.028,-0.94,0.256
1517803864.95108,0.004,-0.98,0.308
1517803864.9576719,-0.008,-0.996,0.312
1517803864.9643488,-0.032,-0.964,0.284
1517803864.9710758,-0.036,-0.964,0.292
1517803864.9777987,0.0,-0.972,0.28
1517803864.9843845,-0.012,-0.964,0.288
1517803864.9912505,-0.024,-0.952,0.248
1517803864.9976954,-0.008,-0.952,0.256
1517803865.0043454,-0.032,-0.968,0.276
1517803865.0110402,-0.008,-0.964,0.296
1517803865.0175762,0.008,-0.944,0.276
1517803865.024537,-0.004,-0.964,0.288
1517803865.031069,-0.032,-0.972,0.292
1517803865.0375729,-0.008,-0.976,0.312
1517803865.0443318,-0.044,-0.952,0.272
1517803865.0508778,-0.04,-0.96,0.284
1517803865.0575197,-0.012,-0.96,0.268
1517803865.0644267,-0.028,-0.976,0.292
1517803865.0711396,-0.008,-0.988,0.308
1517803865.0776844,-0.02,-0.98,0.3
1517803865.0841293,-0.024,-0.952,0.276
1517803865.0908253,-0.032,-0.972,0.284
1517803865.097469,-0.024,-0.964,0.272
1517803865.104325,-0.02,-0.98,0.316
1517803865.111324,-0.048,-0.956,0.288
1517803865.117642,-0.044,-0.936,0.252
1517803865.1243877,0.0,-0.98,0.316
1517803865.1308908,0.0,-0.972,0.296
1517803865.1375656,-0.02,-0.972,0.308
1517803865.1444955,0.004,-0.98,0.3
1517803865.1511004,-0.008,-0.956,0.28
1517803865.1575935,-0.02,-0.984,0.312
1517803865.1643634,-0.016,-0.956,0.264
1517803865.1710742,-0.004,-0.988,0.312
1517803865.1777992,-0.012,-0.956,0.288
1517803865.184453,-0.044,-0.988,0.324
1517803865.1911771,-0.048,-0.968,0.3
1517803865.197633,-0.02,-0.976,0.316
1517803865.204553,-0.004,-0.964,0.288
1517803865.2113118,-0.032,-0.972,0.3
1517803865.2178016,-0.008,-0.956,0.284
1517803865.2246547,-0.016,-0.944,0.264
1517803865.2311146,-0.036,-0.968,0.284
1517803865.2376304,-0.008,-0.968,0.288
1517803865.2443085,0.0,-0.964,0.292
1517803865.2508464,-0.024,-0.976,0.3
1517803865.2575061,-0.024,-0.96,0.276
1517803865.264426,-0.02,-0.976,0.284
1517803865.271144,0.004,-0.964,0.288
1517803865.2776918,0.004,-0.976,0.288
1517803865.2841268,-0.036,-0.948,0.272
1517803865.290825,-0.012,-0.94,0.26
1517803865.2974827,-0.024,-0.964,0.276
1517803865.3043885,-0.028,-0.984,0.304
1517803865.3111346,-0.032,-0.988,0.332
1517803865.3175485,-0.012,-0.988,0.304
1517803865.3242145,-0.032,-0.964,0.276
1517803865.3308113,-0.036,-0.972,0.292
1517803865.3374963,-0.02,-0.968,0.296
1517803865.344459,-0.004,-0.944,0.248
1517803865.351104,-0.04,-0.956,0.272
1517803865.3575919,0.012,-0.956,0.268
1517803865.3635828,-0.02,-0.964,0.288
1517803865.370278,-0.016,-0.96,0.288
1517803865.3769658,-0.024,-0.984,0.312
1517803865.3835936,-0.004,-0.956,0.264
1517803865.3905184,-0.028,-0.964,0.308
1517803865.3972464,-0.04,-0.968,0.3
1517803865.4038534,0.004,-0.964,0.292
1517803865.4103773,-0.016,-0.952,0.268
1517803865.4168053,-0.036,-0.972,0.312
1517803865.4235191,-0.012,-0.952,0.26
1517803865.4302561,-0.036,-0.964,0.284
