#Time,X,Y,Z
1517803864.6605027,0.944,0.444,-0.04
1517803864.6675045,0.996,0.46,-0.016
1517803864.6743383,0.992,0.464,-0.02
1517803864.6808543,0.996,0.46,-0.032
1517803864.6873844,0.996,0.46,-0.02
1517803864.6943212,1.008,0.448,-0.028
1517803864.7011192,0.996,0.456,-0.024
1517803864.706336,0.996,0.452,-0.02
1517803864.711788,0.996,0.456,-0.024
1517803864.716846,1.0,0.46,-0.02
1517803864.722432,0.992,0.46,-0.02
1517803864.7277908,0.996,0.456,-0.028
1517803864.7328997,1.004,0.46,-0.02
1517803864.7382135,1.0,0.468,-0.024
1517803864.7435355,0.996,0.46,-0.028
1517803864.7486656,0.996,0.464,-0.028
1517803864.7554953,0.996,0.456,-0.028
1517803864.7623823,0.996,0.46,-0.028
1517803864.7682621,0.996,0.468,-0.028
1517803864.774969,0.996,0.46,-0.036
1517803864.781387,1.0,0.452,-0.024
1517803864.786559,1.0,0.456,-0.028
1517803864.792623,0.988,0.456,-0.02
1517803864.7991529,0.996,0.46,-0.028
1517803864.8057477,0.992,0.456,-0.028
1517803864.8126206,0.992,0.472,-0.024
1517803864.8192887,0.996,0.464,-0.028
1517803864.8259945,0.992,0.464,-0.024
1517803864.8325925,1.0,0.464,-0.028
1517803864.8392594,0.992,0.46,-0.028
1517803864.8459272,0.992,0.464,-0.028
1517803864.8526223,0.996,0.46,-0.024
1517803864.8594341,1.004,0.456,-0.024
1517803864.865891,0.996,0.46,-0.028
1517803864.87272,0.996,0.464,-0.036
1517803864.879318,0.996,0.464,-0.036
1517803864.8857417,0.992,0.456,-0.024
1517803864.8925998,0.996,0.464,-0.016
1517803864.8992727,0.992,0.468,-0.032
1517803864.9059706,0.996,0.46,-0.02
1517803864.9127684,0.996,0.46,-0.04
1517803864.9192715,1.0,0.46,-0.028
1517803864.9259553,1.0,0.46,-0.028
1517803864.932562,0.992,0.456,-0.024
1517803864.939372,1.0,0.456,-0.02
1517803864.946037,0.996,0.464,-0.028
1517803864.952708,1.008,0.452,-0.02
1517803864.959385,0.996,0.464,-0.024
1517803864.9659047,1.0,0.464,-0.024
1517803864.9727516,0.996,0.452,-0.02
1517803864.9795315,0.992,0.46,-0.028
1517803864.9859617,1.0,0.468,-0.024
1517803864.9928505,0.992,0.46,-0.02
1517803864.9992795,0.992,0.452,-0.032
1517803865.0059524,1.0,0.456,-0.028
1517803865.0127313,1.0,0.46,-0.028
1517803865.0194182,0.992,0.452,-0.016
1517803865.026123,0.996,0.464,-0.024
1517803865.032607,1.004,0.468,-0.02
1517803865.039265,0.992,0.46,-0.024
1517803865.045946,0.992,0.476,-0.024
1517803865.0526297,1.0,0.456,-0.028
1517803865.0594456,0.992,0.468,-0.028
1517803865.0659735,1.0,0.464,-0.024
1517803865.0727315,1.0,0.46,-0.02
1517803865.0793173,0.996,0.456,-0.024
1517803865.0857372,0.996,0.468,-0.024
1517803865.0926003,1.0,0.456,-0.024
1517803865.099265,1.004,0.452,-0.024
1517803865.105876,1.0,0.46,0.004
1517803865.112886,0.988,0.464,-0.028
1517803865.119331,0.996,0.46,-0.032
1517803865.1259928,0.992,0.468,-0.02
1517803865.1325877,0.992,0.456,-0.02
1517803865.1394117,1.0,0.468,-0.032
1517803865.1460826,1.0,0.464,-0.016
1517803865.1526794,0.996,0.46,-0.032
1517803865.1593614,1.0,0.46,-0.024
1517803865.1659224,1.0,0.456,-0.016
1517803865.1727602,1.0,0.456,-0.032
1517803865.179531,0.996,0.464,-0.028
1517803865.1860461,0.996,0.452,-0.024
1517803865.192795,1.0,0.46,-0.02
1517803865.199388,0.992,0.456,-0.024
1517803865.2061567,0.996,0.46,-0.036
1517803865.2129047,0.996,0.456,-0.028
1517803865.2195415,1.008,0.46,-0.02
1517803865.2262497,0.992,0.46,-0.028
1517803865.2326596,0.996,0.46,-0.036
1517803865.2392673,1.004,0.464,-0.02
1517803865.2459044,1.0,0.46,-0.028
1517803865.2526042,1.0,0.464,-0.028
1517803865.2594411,0.996,0.468,-0.032
1517803865.265978,0.996,0.464,-0.032
1517803865.272733,0.996,0.46,-0.032
1517803865.279327,1.0,0.464,-0.036
1517803865.2857368,0.996,0.456,-0.024
1517803865.2925959,0.988,0.46,-0.04
1517803865.2992766,1.004,0.456,-0.02
1517803865.3059735,1.0,0.464,-0.028
1517803865.3127296,0.992,0.46,-0.028
1517803865.3192403,1.0,0.464,-0.024
1517803865.3258264,0.996,0.468,-0.036
1517803865.3325353,1.0,0.46,-0.032
1517803865.3393621,1.0,0.46,-0.028
1517803865.346038,0.996,0.46,-0.024
1517803865.352683,0.992,0.452,-0.028
1517803865.359397,0.996,0.456,-0.028
1517803865.3652189,0.992,0.464,-0.02
1517803865.3719468,1.0,0.452,-0.02
1517803865.3785667,0.996,0.468,-0.036
1517803865.3851795,1.0,0.456,-0.028
1517803865.3921216,1.0,0.452,-0.024
1517803865.3988144,0.992,0.46,-0.012
1517803865.4054804,0.992,0.46,-0.016
1517803865.4119873,1.0,0.46,-0.02
1517803865.4184022,1.004,0.468,-0.016
1517803865.42511,1.0,0.456,-0.02
1517803865.431788,1.0,0.452,-0.028
1517803865.438652,0.996,0.464,-0.032
1517803865.445437,0.996,0.452,-0.028
1517803865.4519987,0.996,0.456,-0.02
1517803865.4584918,0.992,0.464,-0.024
1517803865.4649477,1.004,0.456,-0.028
1517803865.4715405,0.992,0.456,-0.02
1517803865.4783204,0.996,0.464,-0.036
1517803865.4848745,1.0,0.452,-0.024
1517803865.4916594,0.996,0.456,-0.032
1517803865.498145,0.996,0.452,-0.024
1517803865.5047762,0.996,0.452,-0.032
1517803865.511342,0.996,0.456,-0.028
1517803865.517693,0.984,0.468,-0.028
1517803865.5243878,0.996,0.46,-0.02
1517803865.5308878,1.0,0.46,-0.032
1517803865.5376077,0.996,0.456,-0.032
1517803865.5445707,0.996,0.46,-0.028
1517803865.5510767,0.996,0.46,-0.024
1517803865.5575745,0.996,0.468,-0.036
1517803865.5642965,0.996,0.444,-0.032
1517803865.5708542,0.992,0.452,-0.028
1517803865.5777102,0.992,0.456,-0.02
1517803865.5843701,0.996,0.468,-0.024
1517803865.5911012,0.992,0.464,-0.028
1517803865.59756,0.996,0.46,-0.036
1517803865.604198,1.0,0.456,-0.04
1517803865.6108458,1.0,0.464,-0.028
1517803865.6174088,0.992,0.456,-0.024
1517803865.6237745,1.0,0.46,-0.02
1517803865.6306496,1.0,0.456,-0.028
1517803865.6373115,0.992,0.456,-0.032
1517803865.6440024,1.0,0.452,-0.032
1517803865.6505783,0.996,0.456,-0.032
1517803865.6570852,0.996,0.456,-0.028
1517803865.6630142,0.996,0.456,-0.032
1517803865.668101,0.996,0.46,-0.012
1517803865.672703,0.992,0.476,-0.04
1517803865.67942,0.996,0.46,-0.028
1517803865.6858528,0.996,0.46,-0.028
1517803865.6926887,0.992,0.456,-0.028
1517803865.6994357,0.996,0.456,-0.028
1517803865.7061195,1.0,0.464,-0.02
1517803865.7128196,0.996,0.456,-0.02
1517803865.7192805,1.0,0.46,-0.02
1517803865.7264123,0.996,0.468,-0.028
1517803865.7330344,1.004,0.456,-0.028
1517803865.7396781,0.992,0.46,-0.024
1517803865.7463121,1.0,0.464,-0.016
1517803865.752863,1.004,0.46,-0.016
1517803865.7594059,1.0,0.456,-0.024
1517803865.7659068,0.992,0.444,-0.028
1517803865.772745,1.0,0.46,-0.028
1517803865.7795258,1.004,0.456,-0.028
1517803865.7860436,1.004,0.452,-0.024
1517803865.7929046,0.996,0.46,-0.024
1517803865.7993436,0.996,0.46,-0.02
1517803865.8058844,1.0,0.464,-0.028
1517803865.8127253,0.992,0.456,-0.024
1517803865.8194232,0.996,0.456,-0.04
1517803865.8260422,1.0,0.468,-0.028
1517803865.832741,1.0,0.456,-0.028
1517803865.839346,0.996,0.46,-0.032
1517803865.8459089,1.0,0.46,-0.032
1517803865.8526409,1.0,0.456,-0.032
1517803865.8595717,1.0,0.456,-0.04
1517803865.8651986,1.004,0.448,-0.028
1517803865.8720126,1.004,0.456,-0.032
1517803865.8789535,1.004,0.456,-0.028
1517803865.8854795,0.996,0.456,-0.032
1517803865.8921752,1.0,0.448,-0.024
1517803865.8986092,1.004,0.46,-0.028
1517803865.9054182,0.992,0.456,-0.02
1517803865.9124532,1.0,0.456,-0.024
1517803865.91758,0.996,0.456,-0.028
1517803865.9227889,0.996,0.464,-0.02
1517803865.928083,1.004,0.46,-0.02
1517803865.9335349,1.0,0.46,-0.036
1517803865.9387279,0.996,0.464,-0.028
1517803865.9462516,1.0,0.456,-0.036
1517803865.9527795,1.008,0.448,-0.028
1517803865.9593904,0.996,0.472,-0.032
1517803865.9659643,0.992,0.46,-0.024
1517803865.9720182,1.0,0.456,-0.032
1517803865.9773433,1.004,0.456,-0.032
1517803865.9825652,1.0,0.46,-0.028
1517803865.988624,0.996,0.456,-0.028
1517803865.995493,1.0,0.456,-0.028
1517803866.002219,1.0,0.464,-0.028
1517803866.0084708,1.0,0.456,-0.024
1517803866.0145907,0.996,0.456,-0.028
1517803866.0208457,1.0,0.46,-0.02
1517803866.0275927,0.992,0.46,-0.012
1517803866.0341475,1.0,0.46,-0.028
1517803866.0409615,1.0,0.456,-0.028
1517803866.0475264,1.0,0.46,-0.036
1517803866.0544424,0.996,0.456,-0.024
1517803866.0612483,1.0,0.456,-0.024
1517803866.0675962,1.004,0.452,-0.024
1517803866.07452,1.0,0.456,-0.032
1517803866.0810049,1.0,0.452,-0.028
1517803866.087595,1.004,0.46,-0.028
1517803866.0945268,1.0,0.452,-0.028
1517803866.1011968,1.0,0.456,-0.02
1517803866.1078596,1.0,0.46,-0.024
1517803866.1143095,1.0,0.46,-0.028
1517803866.1209044,0.996,0.46,-0.036
1517803866.1274755,1.0,0.456,-0.028
1517803866.1341462,1.0,0.452,-0.028
1517803866.1410232,0.992,0.46,-0.024
1517803866.1475112,1.0,0.452,-0.02
1517803866.15386,1.0,0.448,-0.02
1517803866.160323,1.0,0.46,-0.024
1517803866.166164,1.0,0.452,-0.024
1517803866.1715488,1.0,0.452,-0.036
1517803866.1767528,1.0,0.468,-0.024
1517803866.1820707,1.0,0.456,-0.012
1517803866.1874237,1.0,0.448,-0.044
1517803866.1916516,0.992,0.456,-0.028
1517803866.1982315,1.0,0.456,-0.032
1517803866.2050285,1.0,0.456,-0.032
1517803866.2116733,0.992,0.464,-0.024
1517803866.2181354,0.996,0.46,-0.032
1517803866.2248452,1.0,0.46,-0.028
1517803866.2312572,1.004,0.456,-0.024
1517803866.237776,1.0,0.456,-0.028
1517803866.244401,1.0,0.452,-0.036
1517803866.250367,0.996,0.46,-0.028
1517803866.2569427,1.008,0.464,-0.028
1517803866.2634766,1.0,0.456,-0.024
1517803866.2700307,1.0,0.456,-0.024
1517803866.2767286,1.0,0.456,-0.024
1517803866.2834024,0.992,0.46,-0.024
1517803866.2900984,0.992,0.46,-0.024
1517803866.2967124,1.004,0.456,-0.012
1517803866.3032212,0.996,0.456,-0.024
1517803866.3097851,1.004,0.456,-0.028
1517803866.316117,1.004,0.468,-0.02
1517803866.322726,1.0,0.46,-0.024
1517803866.329419,0.996,0.46,-0.024
1517803866.336099,0.996,0.456,-0.036
1517803866.3429697,1.0,0.452,-0.016
1517803866.3494596,1.0,0.452,-0.02
1517803866.3560076,1.004,0.456,-0.02
1517803866.3627055,1.0,0.46,-0.02
1517803866.3692415,1.0,0.456,-0.02
1517803866.3760962,1.012,0.448,-0.02
1517803866.382774,1.0,0.456,-0.016
1517803866.3894892,0.996,0.456,-0.032
1517803866.396059,0.992,0.456,-0.02
1517803866.402603,0.996,0.456,-0.024
1517803866.4092698,1.008,0.452,-0.02
1517803866.4159358,0.996,0.456,-0.02
1517803866.4229088,1.0,0.452,-0.016
1517803866.4295006,1.0,0.456,-0.032
1517803866.4359045,0.996,0.46,-0.032
1517803866.4425895,0.996,0.456,-0.032
1517803866.4492004,0.996,0.46,-0.016
1517803866.4558043,0.996,0.46,-0.024
1517803866.4621902,1.0,0.464,-0.016
1517803866.468795,1.0,0.456,-0.024
1517803866.474908,0.996,0.46,-0.028
1517803866.480221,1.0,0.456,-0.024
1517803866.485508,1.0,0.456,-0.028
1517803866.490851,0.996,0.456,-0.016
1517803866.496162,0.992,0.456,-0.016
1517803866.5029597,1.0,0.46,-0.024
1517803866.5092137,1.0,0.456,-0.024
1517803866.5157185,1.0,0.456,-0.024
1517803866.5218725,1.004,0.456,-0.036
1517803866.5286424,1.0,0.46,-0.032
1517803866.5346394,1.0,0.456,-0.024
1517803866.5408132,0.996,0.456,-0.036
1517803866.547465,1.0,0.456,-0.024
1517803866.5542161,1.004,0.468,-0.028
1517803866.560966,1.0,0.468,-0.028
1517803866.567476,0.996,0.456,-0.024
1517803866.574436,1.0,0.468,-0.02
1517803866.5811157,1.0,0.46,-0.024
1517803866.5876546,0.996,0.46,-0.028
1517803866.5944245,0.996,0.452,-0.032
1517803866.6009176,1.004,0.444,-0.028
1517803866.6074994,0.996,0.456,-0.024
1517803866.6143043,1.004,0.464,-0.044
1517803866.6211433,1.0,0.46,-0.028
1517803866.627715,1.0,0.46,-0.024
1517803866.634201,0.996,0.456,-0.032
1517803866.640924,0.996,0.464,-0.032
1517803866.6473958,0.996,0.46,-0.024
1517803866.6543038,0.996,0.456,-0.024
1517803866.6612468,0.996,0.452,-0.036
1517803866.6675937,1.004,0.456,-0.028
1517803866.6737297,0.996,0.452,-0.044
1517803866.6806326,1.0,0.46,-0.04
1517803866.6871605,1.004,0.456,-0.028
1517803866.6933944,0.996,0.46,-0.024
1517803866.6994333,0.992,0.46,-0.024
1517803866.7061343,0.996,0.452,-0.028
1517803866.712764,0.996,0.46,-0.024
1517803866.719264,0.996,0.46,-0.024
1517803866.726388,0.992,0.464,-0.028
1517803866.7329798,1.012,0.456,-0.02
1517803866.7396557,1.008,0.456,-0.028
1517803866.7462928,0.996,0.456,-0.028
1517803866.7527606,1.0,0.456,-0.016
1517803866.7593865,1.0,0.46,-0.02
1517803866.7658894,1.0,0.456,-0.016
1517803866.7727435,1.0,0.46,-0.016
1517803866.7795153,1.0,0.46,-0.024
1517803866.7860053,1.0,0.452,-0.024
1517803866.792761,0.992,0.444,-0.028
1517803866.7992651,0.996,0.456,-0.036
1517803866.805943,1.004,0.448,-0.036
1517803866.81279,1.004,0.448,-0.02
1517803866.8194568,1.0,0.46,-0.024
1517803866.8261418,0.996,0.46,-0.032
1517803866.8326097,0.992,0.46,-0.024
1517803866.8392706,1.0,0.452,-0.024
1517803866.8459425,1.0,0.456,-0.004
1517803866.8526473,0.996,0.464,-0.024
1517803866.8595333,0.996,0.468,-0.028
1517803866.8659623,1.0,0.456,-0.028
1517803866.872703,0.996,0.452,-0.024
1517803866.879416,0.992,0.456,-0.028
1517803866.885956,1.004,0.452,-0.024
1517803866.892727,1.0,0.452,-0.02
1517803866.8994107,0.996,0.46,-0.028
1517803866.9061148,1.004,0.456,-0.028
1517803866.9127796,1.004,0.452,-0.028
1517803866.9192765,1.0,0.452,-0.02
1517803866.9259584,1.0,0.464,-0.024
1517803866.9325993,0.996,0.452,-0.02
1517803866.9393942,1.0,0.456,-0.02
1517803866.9460733,1.0,0.464,-0.008
1517803866.9527183,0.996,0.456,-0.024
1517803866.959392,1.0,0.452,-0.028
1517803866.965895,1.0,0.464,-0.032
1517803866.9727259,1.004,0.456,-0.024
1517803866.979513,0.996,0.46,-0.028
1517803866.9860067,0.996,0.46,-0.032
1517803866.9927726,1.0,0.456,-0.024
1517803866.9992645,0.996,0.46,-0.024
1517803867.0059414,1.004,0.456,-0.024
1517803867.0127795,1.0,0.456,-0.036
1517803867.0195312,1.0,0.46,-0.024
1517803867.0262144,0.996,0.456,-0.02
1517803867.0326371,0.996,0.46,-0.024
1517803867.039283,1.0,0.46,-0.028
1517803867.04594,1.0,0.452,-0.024
1517803867.05263,0.992,0.456,-0.028
1517803867.0595238,1.0,0.46,-0.024
1517803867.0660298,1.0,0.46,-0.032
1517803867.0727737,1.0,0.448,-0.02
1517803867.0793536,0.992,0.464,-0.036
1517803867.0856915,1.0,0.456,-0.04
1517803867.0926454,1.0,0.456,-0.036
1517803867.0993693,0.992,0.468,-0.024
1517803867.1060894,0.992,0.456,-0.028
1517803867.1127462,0.992,0.452,-0.024
1517803867.119198,1.004,0.456,-0.032
1517803867.125798,0.992,0.46,-0.02
1517803867.132427,0.996,0.452,-0.032
1517803867.1392598,0.996,0.46,-0.02
1517803867.1459517,1.0,0.46,-0.024
1517803867.1526287,1.0,0.452,-0.016
1517803867.1594276,0.992,0.46,-0.024
1517803867.1653125,1.0,0.452,-0.024
1517803867.1720073,0.996,0.456,-0.032
1517803867.1785824,1.004,0.456,-0.024
1517803867.1851482,0.996,0.46,-0.028
1517803867.1921942,0.992,0.452,-0.02
1517803867.1988132,1.004,0.456,-0.032
1517803867.205508,1.0,0.452,-0.032
1517803867.212509,0.996,0.456,-0.028
1517803867.2182698,1.0,0.464,-0.032
1517803867.2248757,0.996,0.456,-0.032
1517803867.2312818,1.0,0.448,-0.036
1517803867.2378056,1.0,0.46,-0.036
1517803867.2445786,0.996,0.46,-0.024
1517803867.2511084,0.992,0.456,-0.032
1517803867.2578495,0.996,0.456,-0.028
1517803867.2644303,0.996,0.456,-0.024
1517803867.2719562,1.0,0.452,-0.04
1517803867.2799351,0.984,0.46,-0.028
1517803867.286736,0.996,0.452,-0.032
1517803867.293402,1.004,0.464,-0.028
1517803867.299722,0.996,0.456,-0.032
1517803867.3064318,1.0,0.452,-0.028
1517803867.3129926,1.004,0.452,-0.02
1517803867.3194375,0.996,0.46,-0.036
1517803867.3261676,1.004,0.46,-0.028
1517803867.3327293,1.0,0.46,-0.024
1517803867.3395164,0.996,0.452,-0.02
1517803867.3461883,0.992,0.46,-0.024
1517803867.3527312,0.996,0.452,-0.028
1517803867.3593462,0.992,0.448,-0.024
1517803867.365767,1.0,0.456,-0.032
1517803867.371958,0.992,0.46,-0.02
1517803867.3785179,1.0,0.456,-0.016
1517803867.3849378,1.004,0.46,-0.02
1517803867.3915107,1.0,0.452,-0.024
1517803867.3980517,0.996,0.456,-0.024
1517803867.4048204,0.992,0.46,-0.032
1517803867.4116104,0.988,0.464,-0.024
1517803867.4180753,1.0,0.46,-0.024
1517803867.4247413,0.996,0.464,-0.024
1517803867.431188,0.996,0.464,-0.032
1517803867.437823,1.0,0.46,-0.024
1517803867.444596,0.996,0.46,-0.024
1517803867.451085,0.996,0.46,-0.024
1517803867.457821,1.0,0.452,-0.02
1517803867.4644258,0.996,0.456,-0.028
1517803867.4710996,0.996,0.456,-0.036
1517803867.4776747,1.0,0.456,-0.02
1517803867.4841015,1.004,0.448,-0.028
1517803867.4907944,1.0,0.456,-0.016
1517803867.4975023,0.996,0.456,-0.024
1517803867.5043852,1.0,0.452,-0.032
1517803867.5111492,1.0,0.456,-0.024
1517803867.5175343,1.004,0.448,-0.024
1517803867.524306,1.0,0.448,-0.016
1517803867.530814,0.992,0.456,-0.028
1517803867.53758,0.996,0.46,-0.024
1517803867.5445218,0.996,0.452,-0.016
1517803867.5510468,0.996,0.464,-0.016
1517803867.5575957,1.0,0.456,-0.028
1517803867.5642085,1.004,0.452,-0.016
1517803867.5703194,0.996,0.464,-0.028
1517803867.5769184,1.0,0.46,-0.024
1517803867.5835752,1.0,0.456,-0.028
1517803867.5905192,1.008,0.452,-0.036
1517803867.59717,1.0,0.46,-0.028
1517803867.603357,0.992,0.46,-0.032
1517803867.60943,0.992,0.46,-0.024
1517803867.613504,0.996,0.456,-0.036
1517803867.6199028,1.0,0.456,-0.032
1517803867.6264827,1.004,0.46,-0.028
1517803867.6328738,1.0,0.468,-0.02
1517803867.6394837,0.996,0.456,-0.024
1517803867.6462615,1.004,0.46,-0.028
1517803867.6528964,0.996,0.456,-0.012
1517803867.6596215,0.996,0.452,-0.016
1517803867.6660223,1.004,0.456,-0.028
1517803867.6728773,0.992,0.456,-0.016
1517803867.6794791,1.0,0.448,-0.032
1517803867.685981,0.996,0.456,-0.02
1517803867.692812,1.0,0.448,-0.02
1517803867.6994739,0.996,0.46,-0.024
1517803867.706189,1.0,0.456,-0.024
1517803867.7128127,1.0,0.452,-0.02
1517803867.7193787,0.996,0.452,-0.024
1517803867.7264876,0.996,0.456,-0.02
1517803867.7331724,0.992,0.46,-0.028
1517803867.7397275,0.996,0.456,-0.02
1517803867.7462823,1.0,0.448,-0.02
1517803867.7529452,0.996,0.452,-0.028
1517803867.759571,0.992,0.46,-0.028
1517803867.7660022,1.0,0.456,-0.032
1517803867.772026,1.012,0.444,-0.028
1517803867.7785828,0.996,0.456,-0.024
1517803867.7845619,1.0,0.456,-0.02
1517803867.7912319,0.996,0.464,-0.016
1517803867.7976556,1.004,0.456,-0.028
1517803867.8043487,1.0,0.46,-0.02
1517803867.8110294,1.004,0.46,-0.04
1517803867.8176274,0.992,0.456,-0.028
1517803867.8245773,0.996,0.46,-0.028
1517803867.8310142,1.004,0.46,-0.028
1517803867.8375251,0.996,0.46,-0.028
1517803867.844289,1.0,0.46,-0.012
1517803867.850843,0.992,0.456,-0.024
1517803867.857764,1.0,0.464,-0.036
1517803867.864416,1.0,0.46,-0.016
1517803867.8711207,1.004,0.456,-0.028
1517803867.8776956,1.004,0.452,-0.032
1517803867.8841257,1.0,0.46,-0.036
1517803867.8908145,1.0,0.46,-0.028
1517803867.8975444,1.0,0.456,-0.028
